signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,2.44453827e-05,6.03240000e-05,3.71005359e-03,3.71005359e-01
Lift (Lz),HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,3.90171796e-04,9.45826600e-04,3.95845474e-01,3.95845474e+01
Probe Pressure,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,2.11054513e-02,6.09500000e-02,1.19085097e-03,1.19085097e-01
Probe Velocity X,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,4.14026091e-02,1.03126100e-01,6.43463909e-02,6.43463909e+00
Probe Velocity Z,HDM,Local-HPROM-GPR,0.00000000e+00,1.50000000e+02,1.52605024e-01,4.97873700e-01,3.98523977e-01,3.98523977e+01
