signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-LOCAL,0.00000000e+00,1.50000000e+02,4.11316086e-06,1.38850000e-05,6.24250699e-04,6.24250699e-02
Lift (Lz),HDM,HPROM-LOCAL,0.00000000e+00,1.50000000e+02,5.07829126e-05,1.70939550e-04,5.15213716e-02,5.15213716e+00
Probe Pressure,HDM,HPROM-LOCAL,0.00000000e+00,1.50000000e+02,3.36073647e-03,1.62700000e-02,1.89625715e-04,1.89625715e-02
Probe Velocity X,HDM,HPROM-LOCAL,0.00000000e+00,1.50000000e+02,7.23044330e-03,2.67050000e-02,1.12372853e-02,1.12372853e+00
Probe Velocity Z,HDM,HPROM-LOCAL,0.00000000e+00,1.50000000e+02,1.90700104e-02,9.19557100e-02,4.98008268e-02,4.98008268e+00
