signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.34984775e-05,3.80370000e-05,2.04865170e-03,2.04865170e-01
Lift (Lz),HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.87242385e-04,4.88101600e-04,1.89965168e-01,1.89965168e+01
Probe Pressure,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,1.04809515e-02,3.02500000e-02,5.91375713e-04,5.91375713e-02
Probe Velocity X,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,2.08401128e-02,5.79906000e-02,3.23889260e-02,3.23889260e+00
Probe Velocity Z,HDM,HPROM-RBF-5,0.00000000e+00,1.50000000e+02,7.38087597e-02,2.67275300e-01,1.92749620e-01,1.92749620e+01
