signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,9.53974400e-06,2.96200000e-05,1.44783831e-03,1.44783831e-01
Lift (Lz),HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,1.30323579e-04,3.28565700e-04,1.32218678e-01,1.32218678e+01
Probe Pressure,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,7.16794619e-03,2.01600000e-02,4.04443173e-04,4.04443173e-02
Probe Velocity X,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,1.43322053e-02,3.87685000e-02,2.22745789e-02,2.22745789e+00
Probe Velocity Z,HDM,Local-HPROM-RBF,0.00000000e+00,1.50000000e+02,5.12786670e-02,1.81809440e-01,1.33912880e-01,1.33912880e+01
