signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,4.80713213e-05,1.08102000e-04,7.29574090e-03,7.29574090e-01
Lift (Lz),HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,8.45223866e-04,2.14052200e-03,8.57514678e-01,8.57514678e+01
Probe Pressure,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,4.09520422e-02,1.05080000e-01,2.31067218e-03,2.31067218e-01
Probe Velocity X,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,8.00482414e-02,2.11660100e-01,1.24407991e-01,1.24407991e+01
Probe Velocity Z,HDM,Local-QPROM,0.00000000e+00,1.50000000e+02,2.91264722e-01,8.64490700e-01,7.60630104e-01,7.60630104e+01
