signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,PROM-LOCAL-RBF,0.00000000e+00,1.50000000e+02,7.31274086e-05,1.74571000e-04,1.10984806e-02,1.10984806e+00
Lift (Lz),HDM,PROM-LOCAL-RBF,0.00000000e+00,1.50000000e+02,1.27265126e-03,3.01524600e-03,1.29115751e+00,1.29115751e+02
Probe Pressure,HDM,PROM-LOCAL-RBF,0.00000000e+00,1.50000000e+02,3.83856501e-02,8.97000000e-02,2.16586645e-03,2.16586645e-01
Probe Velocity X,HDM,PROM-LOCAL-RBF,0.00000000e+00,1.50000000e+02,7.87790062e-02,1.89913500e-01,1.22435393e-01,1.22435393e+01
Probe Velocity Z,HDM,PROM-LOCAL-RBF,0.00000000e+00,1.50000000e+02,4.56156790e-01,9.53260100e-01,1.19124137e+00,1.19124137e+02
