signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,6.42514816e-06,1.95890000e-05,9.75138918e-04,9.75138918e-02
Lift (Lz),HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,5.56745800e-05,1.47037500e-04,5.64841712e-02,5.64841712e+00
Probe Pressure,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,3.92149641e-03,1.17400000e-02,2.21265954e-04,2.21265954e-02
Probe Velocity X,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,7.72836628e-03,2.48762000e-02,1.20111386e-02,1.20111386e+00
Probe Velocity Z,HDM,HPROM-GPR-5,0.00000000e+00,1.50000000e+02,2.36100991e-02,8.53443500e-02,6.16571481e-02,6.16571481e+00
