signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-LOCAL-4,0.00000000e+00,1.50000000e+02,8.31196196e-06,2.54310000e-05,1.26149894e-03,1.26149894e-01
Lift (Lz),HDM,HPROM-LOCAL-4,0.00000000e+00,1.50000000e+02,5.72362511e-05,2.01282700e-04,5.80685513e-02,5.80685513e+00
Probe Pressure,HDM,HPROM-LOCAL-4,0.00000000e+00,1.50000000e+02,4.08653977e-03,1.63500000e-02,2.30578337e-04,2.30578337e-02
Probe Velocity X,HDM,HPROM-LOCAL-4,0.00000000e+00,1.50000000e+02,7.41118658e-03,2.71189000e-02,1.15181898e-02,1.15181898e+00
Probe Velocity Z,HDM,HPROM-LOCAL-4,0.00000000e+00,1.50000000e+02,2.08964979e-02,1.07415680e-01,5.45706506e-02,5.45706506e+00
