signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-QUAD,0.00000000e+00,1.50000000e+02,2.34608178e-05,6.25430000e-05,3.56062707e-03,3.56062707e-01
Lift (Lz),HDM,HPROM-QUAD,0.00000000e+00,1.50000000e+02,1.87975507e-04,3.27506000e-04,1.90708950e-01,1.90708950e+01
Probe Pressure,HDM,HPROM-QUAD,0.00000000e+00,1.50000000e+02,1.05892559e-02,2.18300000e-02,5.97486666e-04,5.97486666e-02
Probe Velocity X,HDM,HPROM-QUAD,0.00000000e+00,1.50000000e+02,2.57983491e-02,6.47166000e-02,4.00948320e-02,4.00948320e+00
Probe Velocity Z,HDM,HPROM-QUAD,0.00000000e+00,1.50000000e+02,7.60402134e-02,1.75396610e-01,1.98577002e-01,1.98577002e+01
