signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,2.51817748e-05,6.57230000e-05,3.82181515e-03,3.82181515e-01
Lift (Lz),HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,4.26980683e-04,1.06107370e-03,4.33189617e-01,4.33189617e+01
Probe Pressure,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,2.30721603e-02,7.13400000e-02,1.30182028e-03,1.30182028e-01
Probe Velocity X,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,4.48359961e-02,1.14106800e-01,6.96824327e-02,6.96824327e+00
Probe Velocity Z,HDM,Local-HPROM-ANN,0.00000000e+00,1.50000000e+02,1.66197085e-01,5.52152700e-01,4.34019282e-01,4.34019282e+01
