signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-LOCAL-QUAD-3,0.00000000e+00,1.50000000e+02,8.05128141e-05,2.01236000e-04,1.22193569e-02,1.22193569e+00
Lift (Lz),HDM,HPROM-LOCAL-QUAD-3,0.00000000e+00,1.50000000e+02,1.26070162e-03,3.11766900e-03,1.27903409e+00,1.27903409e+02
Probe Pressure,HDM,HPROM-LOCAL-QUAD-3,0.00000000e+00,1.50000000e+02,3.53139015e-02,1.18850000e-01,1.99254654e-03,1.99254654e-01
Probe Velocity X,HDM,HPROM-LOCAL-QUAD-3,0.00000000e+00,1.50000000e+02,7.85718961e-02,2.42653300e-01,1.22113510e-01,1.22113510e+01
Probe Velocity Z,HDM,HPROM-LOCAL-QUAD-3,0.00000000e+00,1.50000000e+02,4.84002198e-01,1.02276470e+00,1.26395891e+00,1.26395891e+02
