signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-LOCAL-3,0.00000000e+00,1.50000000e+02,4.11310026e-06,1.38850000e-05,6.24241502e-04,6.24241502e-02
Lift (Lz),HDM,HPROM-LOCAL-3,0.00000000e+00,1.50000000e+02,5.07819736e-05,1.70937270e-04,5.15204190e-02,5.15204190e+00
Probe Pressure,HDM,HPROM-LOCAL-3,0.00000000e+00,1.50000000e+02,3.36064563e-03,1.62600000e-02,1.89620589e-04,1.89620589e-02
Probe Velocity X,HDM,HPROM-LOCAL-3,0.00000000e+00,1.50000000e+02,7.23036512e-03,2.67050000e-02,1.12371638e-02,1.12371638e+00
Probe Velocity Z,HDM,HPROM-LOCAL-3,0.00000000e+00,1.50000000e+02,1.90696481e-02,9.19544300e-02,4.97998806e-02,4.97998806e+00
