signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-LOCAL-QUAD-4,0.00000000e+00,1.50000000e+02,4.84229470e-05,1.23579000e-04,7.34910682e-03,7.34910682e-01
Lift (Lz),HDM,HPROM-LOCAL-QUAD-4,0.00000000e+00,1.50000000e+02,1.52851895e-03,3.23327500e-03,1.55074589e+00,1.55074589e+02
Probe Pressure,HDM,HPROM-LOCAL-QUAD-4,0.00000000e+00,1.50000000e+02,3.26387896e-02,1.01130000e-01,1.84160641e-03,1.84160641e-01
Probe Velocity X,HDM,HPROM-LOCAL-QUAD-4,0.00000000e+00,1.50000000e+02,8.20206438e-02,2.16836500e-01,1.27473425e-01,1.27473425e+01
Probe Velocity Z,HDM,HPROM-LOCAL-QUAD-4,0.00000000e+00,1.50000000e+02,5.57268687e-01,1.05815140e+00,1.45529241e+00,1.45529241e+02
