signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,1.45794153e-05,4.17800000e-05,2.21270465e-03,2.21270465e-01
Lift (Lz),HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,1.39367177e-04,4.18060480e-04,1.41393783e-01,1.41393783e+01
Probe Pressure,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,8.27503810e-03,2.52600000e-02,4.66909569e-04,4.66909569e-02
Probe Velocity X,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,1.77298022e-02,5.67301000e-02,2.75549973e-02,2.75549973e+00
Probe Velocity Z,HDM,HPROM-ANN-5,0.00000000e+00,1.50000000e+02,5.66036714e-02,2.26544620e-01,1.47818988e-01,1.47818988e+01
