signal,reference,model,time_start,time_end,rmse,max_abs,rel_l2,rel_l2_pct
Drag (Lx),HDM,PROM-QUAD,0.00000000e+00,1.50000000e+02,6.18780826e-05,1.27098000e-04,9.39118056e-03,9.39118056e-01
Lift (Lz),HDM,PROM-QUAD,0.00000000e+00,1.50000000e+02,5.07657450e-04,1.04905190e-03,5.15039544e-01,5.15039544e+01
Probe Pressure,HDM,PROM-QUAD,0.00000000e+00,1.50000000e+02,2.69190084e-02,5.61800000e-02,1.51887429e-03,1.51887429e-01
Probe Velocity X,HDM,PROM-QUAD,0.00000000e+00,1.50000000e+02,6.23768329e-02,1.32499400e-01,9.69437471e-02,9.69437471e+00
Probe Velocity Z,HDM,PROM-QUAD,0.00000000e+00,1.50000000e+02,1.88709113e-01,4.68153700e-01,4.92808847e-01,4.92808847e+01
